[follow_user_motion_node.py-1] [INFO] [1762592191.999283041] [follow_user_motion_node]: Executing goal for user: user_1
[follow_user_motion_node.py-1] [INFO] [1762592210.222771249] [follow_user_motion_node]: Update 32-point path with the last point: (5.00, 0.36)
[follow_user_motion_node.py-1] [INFO] [1762592210.224196771] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.14, 0.18), Robot(4.14, 0.18, -9.20 deg), Heading error: 9.20 deg, target_vel(0.50, 15.98), cmd_vel(0.01, 0.05)
[follow_user_motion_node.py-1] [INFO] [1762592210.258822373] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.14, 0.18), Robot(4.14, 0.18, -9.20 deg), Heading error: 9.20 deg, target_vel(0.50, 15.98), cmd_vel(0.01, 0.05)
[follow_user_motion_node.py-1] [INFO] [1762592210.308129437] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.14, 0.18), Robot(4.14, 0.18, -9.20 deg), Heading error: 9.20 deg, target_vel(0.50, 15.98), cmd_vel(0.01, 0.05)
[follow_user_motion_node.py-1] [INFO] [1762592210.358210930] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.14, 0.18), Robot(4.14, 0.18, -9.20 deg), Heading error: 9.20 deg, target_vel(0.50, 15.98), cmd_vel(0.01, 0.05)
[follow_user_motion_node.py-1] [INFO] [1762592210.410161909] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.14, 0.18), Robot(4.14, 0.18, -9.20 deg), Heading error: 9.20 deg, target_vel(0.50, 15.98), cmd_vel(0.02, 0.05)
[follow_user_motion_node.py-1] [INFO] [1762592210.461270894] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.14, 0.18), Robot(4.14, 0.18, -9.17 deg), Heading error: 9.17 deg, target_vel(0.50, 15.93), cmd_vel(0.02, 0.05)
[follow_user_motion_node.py-1] [INFO] [1762592210.509570857] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.14, 0.18), Robot(4.14, 0.18, -9.12 deg), Heading error: 9.12 deg, target_vel(0.50, 15.84), cmd_vel(0.02, 0.06)
[follow_user_motion_node.py-1] [INFO] [1762592210.560989172] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.14, 0.18), Robot(4.14, 0.18, -9.02 deg), Heading error: 9.02 deg, target_vel(0.50, 15.68), cmd_vel(0.02, 0.06)
[follow_user_motion_node.py-1] [INFO] [1762592210.609845042] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.14, 0.18), Robot(4.14, 0.18, -8.92 deg), Heading error: 8.92 deg, target_vel(0.50, 15.51), cmd_vel(0.02, 0.07)
[follow_user_motion_node.py-1] [INFO] [1762592210.658602647] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.14, 0.18), Robot(4.14, 0.18, -8.77 deg), Heading error: 8.77 deg, target_vel(0.50, 15.25), cmd_vel(0.02, 0.07)
[follow_user_motion_node.py-1] [INFO] [1762592210.723149452] [follow_user_motion_node]: Update 32-point path with the last point: (5.00, 0.36)
